,index,F-score,p-value
169,12throw_148thcolumn,14.462284211139567,0.00015012178210160838
170,63throw_87thcolumn,14.462277807677799,0.0001501222864130303
171,56throw_94thcolumn,14.449732812707202,0.00015111356862180134
172,57throw_167thcolumn,14.44672583363901,0.00015135215371270112
173,42throw_59thcolumn,14.40301550745147,0.00015486350820513603
174,41throw_183thcolumn,14.389937510900271,0.0001559299791776764
175,141throw_195thcolumn,14.383470370839422,0.00015646008890606527
176,142throw_184thcolumn,14.230263462988198,0.0001695642094621402
177,42throw_131thcolumn,14.179194632852232,0.00017417391650755617
178,71throw_158thcolumn,14.17917416259685,0.00017417578936779215
179,59throw_135thcolumn,14.177856645129276,0.00017429637413633788
180,38throw_47thcolumn,14.175380553578846,0.00017452322440642565
181,183throw_197thcolumn,14.173534324824892,0.00017469256280486743
182,67throw_84thcolumn,14.126021870420612,0.00017910795070194598
183,69throw_181thcolumn,14.108763160740818,0.00018073955289129193
184,140throw_142thcolumn,14.093321444726987,0.00018221208665744016
185,50throw_51thcolumn,14.081257615427464,0.0001833709193851962
186,97throw_148thcolumn,14.050385511729807,0.0001863704207427245
187,21throw_131thcolumn,14.020651228028218,0.00018930616651590852
188,93throw_172thcolumn,14.018698945194686,0.0001895005449886122
189,131throw_198thcolumn,13.946737038578616,0.00019680769210020634
190,80throw_181thcolumn,13.943839231680858,0.00019710782379097608
191,27throw_100thcolumn,13.939376511542989,0.00019757094018376417
192,56throw_168thcolumn,13.925295074366646,0.00019903944376079637
193,42throw_68thcolumn,13.878766437806506,0.0002039705298740235
194,38throw_45thcolumn,13.843074265703066,0.00020783657457730209
195,0throw_27thcolumn,13.84277610019769,0.00020786918026960899
196,42throw_144thcolumn,13.813482975734427,0.00021109780469770445
197,21throw_159thcolumn,13.775191763201526,0.00021539461826293623
198,119throw_131thcolumn,13.762028873681366,0.00021689197604903978
199,170throw_186thcolumn,13.744067182073003,0.00021895218860353919
200,107throw_148thcolumn,13.698323231535815,0.00022428868139088564
201,146throw_158thcolumn,13.685602404180306,0.00022579588747941604
202,109throw_148thcolumn,13.675377690662224,0.0002270147525636235
203,99throw_199thcolumn,13.664204248244301,0.00022835430805240726
204,74throw_184thcolumn,13.639559107837776,0.00023133722341235459
205,24throw_167thcolumn,13.631077446170808,0.00023237286860370906
206,115throw_120thcolumn,13.619188787572226,0.0002338324032047306
207,38throw_42thcolumn,13.595458915065176,0.0002367733727915382
208,91throw_183thcolumn,13.594661727427187,0.00023687281806733412
209,137throw_148thcolumn,13.579944281259262,0.00023871633984902648
210,4throw_27thcolumn,13.568673201436336,0.0002401379526597086
211,86throw_197thcolumn,13.5634705875392,0.00024079703387725973
212,57throw_84thcolumn,13.555855195176688,0.00024176506609902343
213,112throw_131thcolumn,13.555421988965751,0.00024182025112666892
214,149throw_184thcolumn,13.535256570638532,0.00024440319233625117
215,75throw_146thcolumn,13.48676252657052,0.00025072927902548023
216,171throw_191thcolumn,13.458258219815958,0.0002545245570494548
217,50throw_69thcolumn,13.457494413284405,0.00025462704992259823
218,45throw_184thcolumn,13.411687090834032,0.00026085058470374205
219,172throw_197thcolumn,13.401208361069383,0.0002622957086613337
220,0throw_4thcolumn,13.391463909062935,0.00026364681991329506
221,133throw_175thcolumn,13.368756216915516,0.0002668226688843019
222,104throw_144thcolumn,13.330165646536079,0.0002723087122121144
223,34throw_90thcolumn,13.308957758334929,0.000275371973858898
224,12throw_159thcolumn,13.297909866479072,0.0002769814864640495
225,78throw_185thcolumn,13.277955573627839,0.0002799126370044657
226,24throw_126thcolumn,13.273213590114544,0.0002806137955312715
227,140throw_192thcolumn,13.255726646084348,0.00028321480978523095
228,32throw_42thcolumn,13.247853017457452,0.00028439387024456177
229,65throw_176thcolumn,13.226836008783986,0.00028756545445212094
230,145throw_159thcolumn,13.218882353389755,0.00028877499915495544
231,72throw_137thcolumn,13.185368792735469,0.00029392822674932125
232,97throw_180thcolumn,13.170995143963674,0.00029616675567468076
233,127throw_128thcolumn,13.156161028947071,0.00029849504974195526
234,48throw_75thcolumn,13.151238397217051,0.0002992717604447598
235,51throw_78thcolumn,13.146440606301553,0.0003000307370847341
236,81throw_170thcolumn,13.14604982823366,0.00030009264094798713
237,78throw_87thcolumn,13.122928836187453,0.0003037783285861889
238,98throw_172thcolumn,13.091428616064702,0.0003088734169520427
239,70throw_75thcolumn,13.08963998780845,0.0003091652991199342
240,30throw_127thcolumn,13.087897860202588,0.00030944986071382367
241,46throw_152thcolumn,13.069972147452955,0.00031239327877284086
242,35throw_90thcolumn,13.055921242470165,0.00031472020365329274
243,168throw_191thcolumn,13.055218692971406,0.00031483700898929395
244,37throw_85thcolumn,13.03288288539447,0.00031857345251146916
245,45throw_58thcolumn,13.006496450738581,0.00032304525259655554
246,145throw_164thcolumn,12.99271044224261,0.00032540677303330326
247,164throw_167thcolumn,12.983035445196675,0.00032707448800520505
248,71throw_73thcolumn,12.977023962804733,0.0003281150546522216
249,152throw_175thcolumn,12.958218966821814,0.00033139177184383255
250,78throw_172thcolumn,12.897527791091512,0.00034219421999295884
251,152throw_188thcolumn,12.8786996370486,0.0003456172095919679
252,42throw_63thcolumn,12.840350542256799,0.0003526964834170152
253,47throw_62thcolumn,12.838410295077324,0.0003530585224797005
254,152throw_172thcolumn,12.83715053483438,0.00035329378751903275
255,47throw_59thcolumn,12.833292812949416,0.00035401521721621404
256,46throw_139thcolumn,12.811573418114968,0.00035810480781329953
257,20throw_131thcolumn,12.763961723411967,0.0003672374808446212
258,125throw_165thcolumn,12.76064510285368,0.0003678823585536748
259,145throw_192thcolumn,12.703886479416155,0.00037909742595405404
260,31throw_175thcolumn,12.661389197339682,0.0003877201664041224
261,86throw_196thcolumn,12.655042339406002,0.0003890248489297583
262,105throw_132thcolumn,12.632228938707401,0.00039375118678676446
263,31throw_41thcolumn,12.623897683673134,0.0003954916295455976
264,31throw_94thcolumn,12.597282515122846,0.0004011039283591761
265,131throw_141thcolumn,12.575273430656864,0.0004058056908088129
266,16throw_27thcolumn,12.563520014317815,0.0004083393225103166
267,28throw_82thcolumn,12.548000681394843,0.0004117092594939154
268,97throw_146thcolumn,12.53989068359391,0.00041348146580564866
269,113throw_164thcolumn,12.534191421932434,0.0004147314850594474
270,96throw_170thcolumn,12.528422953171434,0.0004160005719168682
271,145throw_171thcolumn,12.51887520971594,0.0004181097432447259
272,20throw_171thcolumn,12.507885378121856,0.00042055086409757675
273,135throw_168thcolumn,12.496809164916051,0.00042302574531313185
274,41throw_48thcolumn,12.484397174483583,0.000425816585446023
275,104throw_141thcolumn,12.481091163672051,0.00042656307589276096
276,96throw_158thcolumn,12.468002629390172,0.0004295314443084227
277,89throw_90thcolumn,12.453582657782253,0.00043282594530991993
278,48throw_184thcolumn,12.453290977497751,0.00043289284772335217
279,30throw_63thcolumn,12.43405009751548,0.000437329269414815
280,57throw_85thcolumn,12.407970532829331,0.0004434159466476958
281,84throw_112thcolumn,12.387725180175504,0.00044819995498970156
282,78throw_170thcolumn,12.387282662046388,0.00044830510322402245
283,30throw_130thcolumn,12.378473598096035,0.0004504034502775965
284,57throw_98thcolumn,12.374078372039712,0.0004514541160287503
285,36throw_75thcolumn,12.356295726132894,0.00045573035040507735
286,75throw_87thcolumn,12.319943513374136,0.00046459987205776313
287,145throw_188thcolumn,12.290558604493174,0.00047189682924041415
288,143throw_150thcolumn,12.287181856576268,0.00047274274100695193
289,67throw_192thcolumn,12.282208084031055,0.000473991516846601
290,20throw_186thcolumn,12.269497124641862,0.00047719805465222466
291,83throw_185thcolumn,12.261289150789727,0.0004792802856901837
292,81throw_90thcolumn,12.26005694740432,0.00047959366772787175
293,63throw_88thcolumn,12.23561013049368,0.0004858541399935297
294,68throw_185thcolumn,12.21960029655563,0.0004899987236435378
295,29throw_131thcolumn,12.216772042980583,0.0004907346002664913
296,96throw_186thcolumn,12.199593578990918,0.0004952282855300249
297,48throw_99thcolumn,12.191120583963578,0.0004974600168820977
298,80throw_172thcolumn,12.185060712710865,0.0004990623803941929
299,67throw_98thcolumn,12.17860598536138,0.0005007748915899151
300,85throw_112thcolumn,12.177404964554803,0.0005010941906908095
301,66throw_86thcolumn,12.176026026249767,0.0005014610441019178
302,44throw_57thcolumn,12.141582095879173,0.000510713142377988
303,65throw_68thcolumn,12.122734933481293,0.0005158485958272331
304,74throw_190thcolumn,12.120850292473918,0.0005163649832630569
305,0throw_98thcolumn,12.11001042999466,0.0005193452449065925
306,118throw_197thcolumn,12.08903680770804,0.0005251611028639319
307,154throw_184thcolumn,12.07846715129605,0.0005281169122888776
308,14throw_16thcolumn,12.076552679814988,0.000528654091574247
309,41throw_131thcolumn,12.074651900741527,0.0005291879754227996
310,40throw_112thcolumn,12.064522325885594,0.0005320423399122705
311,79throw_172thcolumn,12.048355254499057,0.0005366302657349209
312,80throw_114thcolumn,12.043229994718015,0.0005380930571416724
313,85throw_190thcolumn,12.018535717619693,0.0005451977164572773
314,79throw_181thcolumn,12.017463585737419,0.0005455083132182903
315,130throw_173thcolumn,12.010268055484415,0.0005475974941461562
316,85throw_164thcolumn,12.004786855413027,0.0005491943560144107
317,76throw_189thcolumn,12.000758565436605,0.0005503709362273699
318,74throw_197thcolumn,11.976114165408292,0.000557624757014137
319,69throw_189thcolumn,11.975319611987723,0.0005578602273323296
320,185throw_189thcolumn,11.962353951029757,0.0005617169108080853
321,21throw_145thcolumn,11.959718962629147,0.0005625039881102124
322,54throw_150thcolumn,11.952919816505052,0.000564540064351609
323,12throw_80thcolumn,11.947141738864051,0.0005662762274969888
324,112throw_188thcolumn,11.946250702481178,0.00056654444099717
325,113throw_185thcolumn,11.945339062244791,0.0005668189894725511
326,131throw_145thcolumn,11.944885605422009,0.0005669556020808183
327,127throw_164thcolumn,11.940134385074451,0.0005683890023423563
328,61throw_67thcolumn,11.931673019435385,0.0005709508003839739
329,75throw_167thcolumn,11.931391337292238,0.0005710362841577793
330,172throw_196thcolumn,11.914227614056353,0.0005762695575852113
331,177throw_186thcolumn,11.91344092553045,0.0005765105804517444
332,8throw_77thcolumn,11.901856320530744,0.0005800716573641306
333,48throw_161thcolumn,11.88715609050986,0.0005846225111795763
334,83throw_186thcolumn,11.88523639773065,0.000585219463350693
335,40throw_145thcolumn,11.873244089676229,0.000588962598201394
336,93throw_183thcolumn,11.865475718044195,0.0005914002369334762
337,144throw_195thcolumn,11.858860914808673,0.000593483938682248
338,59throw_171thcolumn,11.83863967953965,0.0005998999014252848
339,86throw_89thcolumn,11.81962560650078,0.000605996829080463
340,17throw_33thcolumn,11.80455910098018,0.0006108724310970828
341,45throw_59thcolumn,11.79635306367631,0.0006135446179764842
342,69throw_169thcolumn,11.780525947788782,0.0006187319454300864
343,30throw_84thcolumn,11.775562829362796,0.0006203677230110462
344,97throw_149thcolumn,11.763255265281433,0.000624443029506859
345,41throw_184thcolumn,11.757909048243123,0.0006262217056612672
346,41throw_74thcolumn,11.750358112940287,0.0006287426210407066
347,152throw_179thcolumn,11.743972716747084,0.0006308824243979457
348,36throw_131thcolumn,11.719239080425277,0.0006392406456139265
349,30throw_83thcolumn,11.701232853793934,0.0006453958534017854
350,85throw_192thcolumn,11.699107712515467,0.0006461262511812046
351,131throw_197thcolumn,11.691931337167821,0.0006485989113220532
352,28throw_134thcolumn,11.679113150455526,0.000653039331554388
353,131throw_165thcolumn,11.677417869867044,0.0006536289011977077
354,94throw_191thcolumn,11.672416262363923,0.0006553714553236229
355,39throw_75thcolumn,11.666021044452767,0.0006576063893519988
356,66throw_184thcolumn,11.651268306864687,0.0006627914740888817
357,38throw_67thcolumn,11.646690019975459,0.0006644089798904242
358,61throw_71thcolumn,11.642436110714117,0.0006659154620014232
359,184throw_196thcolumn,11.639830795481561,0.000666839815710595
360,30throw_151thcolumn,11.609955454814184,0.0006775326913197971
361,152throw_158thcolumn,11.606347675025837,0.0006788356593253713
362,0throw_163thcolumn,11.606244938341495,0.0006788728002989167
363,159throw_185thcolumn,11.601259632983721,0.0006806775412503248
364,37throw_131thcolumn,11.591009937067957,0.0006844033185470301
365,60throw_88thcolumn,11.580609735894381,0.0006882048948245586
366,84throw_192thcolumn,11.580438656341544,0.0006882676076567483
367,97throw_114thcolumn,11.577487553864398,0.0006893503072468682
368,131throw_137thcolumn,11.54311745785327,0.0007020876248852929
369,70throw_74thcolumn,11.537910997932936,0.0007040377636595883
370,3throw_62thcolumn,11.50771710250904,0.0007154557781723213
371,87throw_170thcolumn,11.487133041095301,0.0007233470071078516
372,47throw_68thcolumn,11.475185554932027,0.0007279676009560864
373,127throw_171thcolumn,11.470581800920854,0.0007297560267457093
374,83throw_131thcolumn,11.469695641430485,0.0007301007840781087
375,29throw_75thcolumn,11.468721400686778,0.0007304799993150997
376,70throw_96thcolumn,11.464205869107001,0.0007322402373240186
377,80throw_179thcolumn,11.457223008895278,0.0007349707402716772
378,67throw_189thcolumn,11.456812383375025,0.0007351316272527421
379,76throw_159thcolumn,11.451392617578795,0.000737258485341159
380,75throw_170thcolumn,11.450669892705042,0.0007375425716368195
381,98throw_191thcolumn,11.448491696127508,0.0007383994400895771
382,43throw_97thcolumn,11.4342656265606,0.0007440205817673463
383,120throw_152thcolumn,11.418951224202788,0.0007501201666026965
384,43throw_116thcolumn,11.402889745420145,0.0007565716824456739
385,122throw_139thcolumn,11.402720873097838,0.0007566398119151757
386,129throw_169thcolumn,11.35533631702896,0.000776003932353178
387,98throw_192thcolumn,11.34088156395208,0.0007820102567740237
388,44throw_131thcolumn,11.339722595744973,0.0007824938707569108
389,7throw_178thcolumn,11.316148535912712,0.0007923968131720483
390,17throw_38thcolumn,11.305850134988622,0.0007967626627075572
391,41throw_44thcolumn,11.30245660482054,0.0007982066244646941
392,61throw_135thcolumn,11.295819681128124,0.0008010383242058185
393,68throw_189thcolumn,11.293236153059595,0.0008021433556666154
394,63throw_112thcolumn,11.288469983295917,0.0008041860010602228
395,54throw_80thcolumn,11.287142587398897,0.0008047558220799875
396,46throw_148thcolumn,11.27990961078455,0.0008078679632641578
397,189throw_194thcolumn,11.278888988087523,0.0008083080874104871
398,30throw_145thcolumn,11.271952932098683,0.0008113055656618512
399,27throw_103thcolumn,11.261108619450894,0.0008160145949177963
400,32throw_168thcolumn,11.248910920730511,0.0008213443879673206
401,0throw_104thcolumn,11.236860495253335,0.00082664443199217
402,28throw_168thcolumn,11.235033937916501,0.0008274508082816569
403,63throw_68thcolumn,11.234525566496005,0.000827675382296646
404,38throw_75thcolumn,11.229393144299934,0.0008299460977918236
405,48throw_58thcolumn,11.201372570412332,0.0008424547807801946
406,59throw_130thcolumn,11.187391600307821,0.0008487672297043756
407,35throw_75thcolumn,11.176557959792792,0.000853691559529883
408,46throw_120thcolumn,11.15845159997535,0.0008619862872126959
409,50throw_70thcolumn,11.158307731920045,0.0008620525204711073
410,27throw_105thcolumn,11.121742734086173,0.0008790543038377889
411,8throw_148thcolumn,11.112017460903429,0.0008836331909743506
412,59throw_154thcolumn,11.096711365357939,0.0008908886212097022
413,70throw_97thcolumn,11.083494754010221,0.0008972021016364884
414,184throw_194thcolumn,11.074698753117127,0.0009014289760187678
415,44throw_59thcolumn,11.072253095947437,0.0009026078026785143
416,115throw_139thcolumn,11.067395259842556,0.0009049539505285455
417,138throw_152thcolumn,11.056299840006812,0.0009103357951730169
418,84throw_183thcolumn,11.04592097891693,0.000915399405339175
419,94throw_172thcolumn,11.044294321096716,0.0009161955957655108
420,71throw_160thcolumn,11.038175405287852,0.0009191968695642836
421,8throw_73thcolumn,11.009041962473061,0.000933623679175133
422,49throw_61thcolumn,10.992048899233192,0.0009421442565521784
423,83throw_189thcolumn,10.986354161991859,0.0009450172646519411
424,94throw_192thcolumn,10.944774551404931,0.0009662649258768603
425,82throw_84thcolumn,10.941259251336087,0.0009680833159846603
426,138throw_151thcolumn,10.927373529479834,0.0009753000505893436
427,80throw_140thcolumn,10.927102798080305,0.0009754412962132388
428,36throw_199thcolumn,10.91639539628211,0.0009810441908099249
429,31throw_47thcolumn,10.911359959240675,0.0009836903561797942
430,57throw_145thcolumn,10.900494903138839,0.0009894246890114798
431,59throw_131thcolumn,10.89424593257335,0.000992738078543678
432,103throw_113thcolumn,10.879590562841503,0.0010005529422102
433,76throw_186thcolumn,10.875392519862208,0.001002802975660457
434,31throw_91thcolumn,10.873482799989853,0.0010038282272260546
435,74throw_186thcolumn,10.864266564431903,0.0010087909968818035
436,84throw_190thcolumn,10.862981600700238,0.001009484896813583
437,164throw_198thcolumn,10.830320028890638,0.001027285893304326
438,27throw_188thcolumn,10.824723135100223,0.0010303680337464234
439,44throw_68thcolumn,10.821085935608416,0.001032376014354838
440,30throw_74thcolumn,10.805716805863694,0.001040904671000798
441,146throw_185thcolumn,10.798088121187977,0.0010451644591812162
442,138throw_182thcolumn,10.79696383083383,0.0010457937439693789
443,113throw_181thcolumn,10.782823323065532,0.0010537412789042631
444,51throw_185thcolumn,10.782319398548779,0.001054025631058402
